Sr. No.,work_id,Work category,work_category_code,State,IDA,MP,Elected/Nominated,Work description,Recommended date,Sanction Date,sanction_lag_days,sanction_amount,Work Status,work_status_code
1,WS/,Normal/Others,1,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi (2024-2029),Elected MP,Construction of Community Bhavan at Navalgund TQ Belavatagi Village Pry No 1/A Near Shivanand Math Continue Work,2024-07-08,2024-07-09,1,497185.0,Physical Inspection,0
2,WS/,Trust and Society,3,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi (2024-2029),Elected MP,Construction of College room of  CBS Charitable Foudation at Nulvi Vilage Pry No 817/3 Continued work,2024-07-08,2025-09-18,437,500000.0,Sanction,1
3,WS/,Trust and Society,3,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi (2024-2029),Elected MP,Construction of Community Bhavan of Veerashaiv Jangam Society (R) at Ward No 21 Chidamarnagar Dharwad,2024-07-08,2024-09-23,77,450000.0,Sanction,1
4,WS/,Normal/Others,1,Karnataka,HAVERI(DEPUTY COMMISSIONER HAVERI_IDA),Pralhad Venkatesh Joshi (2024-2029),Elected MP,Construction of Maremma Cultural bhavan at Neerlgudda village Shiggava TQ,2024-07-08,2025-05-29,325,1500000.0,Work partially Completed,5
5,WS/,Normal/Others,1,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi (2024-2029),Elected MP,"Construction of Cultural Bhavan at Kundagol TQ, Chickgungal Village ST Colony, Pry No.202",2024-07-09,2024-08-22,44,398009.0,Physical Inspection,0
6,WS/,Normal/Others,1,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi (2024-2029),Elected MP,Construction of Community Hall at Uppinbetageri Village Near Mallikarjun Temple Pry No1151,2024-07-09,2024-07-25,16,399104.0,Physical Inspection,0
7,WS/,Normal/Others,1,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi (2024-2029),Elected MP,Construction of Community Hall at Shibargatti Village Near Hanamanth Temple Pry No 96,2024-07-09,2024-08-22,44,396154.0,Physical Inspection,0
8,WS/,Normal/Others,1,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi (2024-2029),Elected MP,Construction of Community Hall at Hosategur Village Near Shri Girimalleshwar Math Pry No 518 Continue work,2024-07-09,2025-06-03,329,400000.0,Sanction,1
9,WS/,Normal/Others,1,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi (2024-2029),Elected MP,Construction of Community Hall at Kardigudda Village Near Mallikarjun Temple Pry No 451/2,2024-07-09,2025-03-14,248,495627.0,Physical Inspection,0
10,WS/,Normal/Others,1,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi (2024-2029),Elected MP,Construction of Community Hall at Tadakod Village Near Vittal Temple Pry No 319,2024-07-09,2024-08-17,39,398955.0,Physical Inspection,0
11,WS/,Normal/Others,1,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi (2024-2029),Elected MP,Construction of Community Hall at Mulmuttal Village Near Beereshwar Temple Pry No 67,2024-07-09,2024-08-17,39,399304.0,Physical Inspection,0
12,WS/,Normal/Others,1,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi (2024-2029),Elected MP,Construction of Community Hall at Nigadi Village Near Kalmeshwar Temple Pry No 101 Continued work,2024-07-09,2025-03-14,248,495031.0,Physical Inspection,0
13,WS/,Normal/Others,1,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi (2024-2029),Elected MP,Construction of Cultural Bhavan at Parsapur Village Near Hanuman Temple Pry No 107,2024-07-09,2024-08-22,44,247583.0,Physical Inspection,0
14,WS/,Normal/Others,1,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi (2024-2029),Elected MP,Construction of Cultural Bhavan at Chabbi Village Near Vithobha Temple Pry No 266/A,2024-07-09,2024-08-22,44,250000.0,Sanction,1
15,WS/,Normal/Others,1,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi (2024-2029),Elected MP,Construction of Community Hall at Ayahatti Village Near Beereshwar Temple Pry No 34,2024-07-09,2024-07-25,16,498091.0,Physical Inspection,0
16,"WS/MP418/2024-2025/133409-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Bihar,ARARIA(DISTRICT PLANNING OFFICER ARARIA_IDA),Pradeep Kumar Singh (2024-2029),Elected MP,"PCC Road from Permeshwar Bhagat house to Ramdev Master house at ward no 15, uder Forbesganj Block.",2024-07-12,2024-07-14,2,448127.0,Physical Inspection,0
17,WS/MP498/2024-2025/133447-Construction of culverts and bridges,Normal/Others,1,West Bengal,Dakshin Dinajpur(DISTRICT MAGISTRATE DINAJPUR DAKSHIN_IDA),Dr Sukanta Majumdar  (2024-2029),Elected MP,Phage 2: Concrete R.C.C. bridge,2024-07-13,2024-08-07,25,1602957.0,Physical Inspection,0
18,"WS/MP577/2025-2026/133549-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,khnagela game mota faliya ma c.c.road nu kam,2024-07-17,2025-04-11,268,250000.0,Physical Inspection,0
19,"WS/MP577/2025-2026/133550-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,vijagadh game sampura balubhai na ghar thi kenal faliya sudhi c.c.road nu kam,2024-07-17,2025-10-07,447,245697.0,Sanction,1
