work_index,Sr. No.,work_id,Work category,work_category_code,State,IDA,MP,Elected/Nominated,Work description,Recommended date,Sanction Date,sanction_lag_days,sanction_amount,Work Status,work_status_code,is_synthetic_fraud,fraud_pattern
20000,20001,WS/SYNTH-A01,Normal/Others,1,Maharashtra,SOLAPUR(DISTRICT COLLECTOR SOLAPUR_IDA),PRANITI SUSHILKUMAR SHINDE (2024-2029),Elected MP,Paver block road and community hall package #1 ward 4/5/6,2025-01-15,2025-02-01,17,2475000.0,Sanction,1,True,Pattern A: Shell contractor cluster
20001,20002,WS/SYNTH-A02,Normal/Others,1,Maharashtra,SOLAPUR(DISTRICT COLLECTOR SOLAPUR_IDA),PRANITI SUSHILKUMAR SHINDE (2024-2029),Elected MP,Paver block road and community hall package #2 ward 4/5/6,2025-01-15,2025-02-01,17,2480000.0,Sanction,1,True,Pattern A: Shell contractor cluster
20002,20003,WS/SYNTH-A03,Normal/Others,1,Maharashtra,SOLAPUR(DISTRICT COLLECTOR SOLAPUR_IDA),PRANITI SUSHILKUMAR SHINDE (2024-2029),Elected MP,Paver block road and community hall package #3 ward 4/5/6,2025-01-16,2025-02-02,17,2470000.0,Sanction,1,True,Pattern A: Shell contractor cluster
20003,20004,WS/SYNTH-A04,Normal/Others,1,Maharashtra,SOLAPUR(DISTRICT COLLECTOR SOLAPUR_IDA),PRANITI SUSHILKUMAR SHINDE (2024-2029),Elected MP,Paver block road and community hall package #4 ward 4/5/6,2025-01-16,2025-02-02,17,2485000.0,Sanction,1,True,Pattern A: Shell contractor cluster
20004,20005,WS/SYNTH-A05,Normal/Others,1,Maharashtra,SOLAPUR(DISTRICT COLLECTOR SOLAPUR_IDA),Omprakash Bhupalsinh Alias Pawan Rajenimbalkar (2024-2029),Elected MP,Paver block road and community hall package #5 ward 4/5/6,2025-01-16,2025-02-02,17,2475000.0,Sanction,1,True,Pattern A: Shell contractor cluster
20005,20006,WS/SYNTH-A06,Normal/Others,1,Maharashtra,SOLAPUR(DISTRICT COLLECTOR SOLAPUR_IDA),Omprakash Bhupalsinh Alias Pawan Rajenimbalkar (2024-2029),Elected MP,Paver block road and community hall package #6 ward 4/5/6,2025-01-17,2025-02-03,17,2480000.0,Sanction,1,True,Pattern A: Shell contractor cluster
20006,20007,WS/SYNTH-A07,Normal/Others,1,Maharashtra,SOLAPUR(DISTRICT COLLECTOR SOLAPUR_IDA),Omprakash Bhupalsinh Alias Pawan Rajenimbalkar (2024-2029),Elected MP,Paver block road and community hall package #7 ward 4/5/6,2025-01-17,2025-02-03,17,2472000.0,Sanction,1,True,Pattern A: Shell contractor cluster
20007,20008,WS/SYNTH-A08,Normal/Others,1,Maharashtra,SOLAPUR(DISTRICT COLLECTOR SOLAPUR_IDA),MOHITE PATIL DHAIRYASHEEL RAJSINH (2024-2029),Elected MP,Paver block road and community hall package #8 ward 4/5/6,2025-01-17,2025-02-03,17,2485000.0,Sanction,1,True,Pattern A: Shell contractor cluster
20008,20009,WS/SYNTH-A09,Normal/Others,1,Maharashtra,SOLAPUR(DISTRICT COLLECTOR SOLAPUR_IDA),MOHITE PATIL DHAIRYASHEEL RAJSINH (2024-2029),Elected MP,Paver block road and community hall package #9 ward 4/5/6,2025-01-17,2025-02-03,17,2478000.0,Sanction,1,True,Pattern A: Shell contractor cluster
20009,20010,WS/SYNTH-A10,Normal/Others,1,Maharashtra,SOLAPUR(DISTRICT COLLECTOR SOLAPUR_IDA),MOHITE PATIL DHAIRYASHEEL RAJSINH (2024-2029),Elected MP,Paver block road and community hall package #10 ward 4/5/6,2025-01-17,2025-02-03,17,2482000.0,Sanction,1,True,Pattern A: Shell contractor cluster
20010,20011,WS/SYNTH-B01,Normal/Others,1,Maharashtra,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),RAVINDRA DATTARAM WAIKAR (2024-2029),Elected MP,High priority infrastructure development scheme #1,2025-03-03,2025-03-04,1,2850000.0,Sanction,1,True,Pattern B: Fast-tracked large sanction
20011,20012,WS/SYNTH-B02,Normal/Others,1,Rajasthan,ALWAR(DISTRICT COLLECTOR ALWAR_IDA),SANJNA JATAV (2024-2029),Elected MP,High priority infrastructure development scheme #2,2025-03-05,2025-03-07,2,3400000.0,Sanction,1,True,Pattern B: Fast-tracked large sanction
20012,20013,WS/SYNTH-B03,Normal/Others,1,Gujarat,TAPI(District collector Tapi_IDA),Prabhubhai Nagarbhai Vasava (2024-2029),Elected MP,High priority infrastructure development scheme #3,2025-03-10,2025-03-11,1,2250000.0,Sanction,1,True,Pattern B: Fast-tracked large sanction
20013,20014,WS/SYNTH-B04,Normal/Others,1,Bihar,AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA),ABHAY KUMAR SINHA (2024-2029),Elected MP,High priority infrastructure development scheme #4,2025-03-12,2025-03-15,3,4100000.0,Sanction,1,True,Pattern B: Fast-tracked large sanction
20014,20015,WS/SYNTH-B05,Normal/Others,1,Madhya Pradesh,DAMOH(DISTRICT COLLECTOR DAMOH_IDA),RAHUL SINGH LODHI (2024-2029),Elected MP,High priority infrastructure development scheme #5,2025-03-15,2025-03-17,2,2600000.0,Sanction,1,True,Pattern B: Fast-tracked large sanction
20015,20016,WS/SYNTH-B06,Normal/Others,1,Karnataka,SHIVAMOGGA(DEPUTY COMMISSIONER SHIMOGA_IDA),Shri B Y Raghavendra  (2024-2029),Elected MP,High priority infrastructure development scheme #6,2025-03-18,2025-03-19,1,3750000.0,Sanction,1,True,Pattern B: Fast-tracked large sanction
20016,20017,WS/SYNTH-B07,Normal/Others,1,Kerala,THRISSUR(DISTRICT COLLECTOR THRISSUR_IDA),K RADHAKRISHNAN (2024-2029),Elected MP,High priority infrastructure development scheme #7,2025-03-20,2025-03-22,2,2900000.0,Sanction,1,True,Pattern B: Fast-tracked large sanction
20017,20018,WS/SYNTH-B08,Normal/Others,1,Andhra Pradesh,KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA),BASTIPATI NAGARAJU PANCHALINGALA (2024-2029),Elected MP,High priority infrastructure development scheme #8,2025-03-24,2025-03-27,3,3150000.0,Sanction,1,True,Pattern B: Fast-tracked large sanction
20018,20019,WS/SYNTH-B09,Normal/Others,1,Gujarat,SURAT(DISTRICT COLLECTOR SURAT_IDA),MUKESHKUMAR CHANDRAKAANT DALAL (2024-2029),Elected MP,High priority infrastructure development scheme #9,2025-03-27,2025-03-28,1,2400000.0,Sanction,1,True,Pattern B: Fast-tracked large sanction
20019,20020,WS/SYNTH-B10,Normal/Others,1,Telangana,MEDAK(COLLECTOR MEDAK DISTRICT),MADHAVANENI RAGHUNANDAN RAO (2024-2029),Elected MP,High priority infrastructure development scheme #10,2025-03-29,2025-03-31,2,3950000.0,Sanction,1,True,Pattern B: Fast-tracked large sanction
20020,20021,WS/SYNTH-C01,Normal/Others,1,Assam,LAKHIMPUR(DEPUTY COMMISSIONER LAKHIMPUR_IDA),RANJIT DUTTA (2024-2029),Elected MP,Preliminary stage municipal facility work #1,2023-08-15,2025-05-28,652,450000.0,Physical Inspection,0,True,Pattern C: Ghost work
20021,20022,WS/SYNTH-C02,Normal/Others,1,Assam,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),AMARSING TISSO (2024-2029),Elected MP,Preliminary stage municipal facility work #2,2023-08-20,2025-06-10,660,600000.0,Physical Inspection,0,True,Pattern C: Ghost work
20022,20023,WS/SYNTH-C03,Normal/Others,1,Madhya Pradesh,MANDLA(DISTRICT COLLECTOR MANDLA_IDA),Faggan Singh Kulaste (2024-2029),Elected MP,Preliminary stage municipal facility work #3,2023-08-25,2025-06-23,668,380000.0,Physical Inspection,0,True,Pattern C: Ghost work
